crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense
ahash@0.8.12	X									X		
aho-corasick@1.1.3										X		X
android-tzdata@0.1.1	X									X		
android_system_properties@0.1.5	X									X		
anstream@0.6.20	X									X		
anstyle@1.0.11	X									X		
anstyle-parse@0.2.7	X									X		
anstyle-query@1.1.4	X									X		
anstyle-wincon@3.0.10	X									X		
anyhow@1.0.100	X									X		
arrow@57.1.0	X											
arrow-arith@57.1.0	X											
arrow-array@57.1.0	X											
arrow-buffer@57.1.0	X											
arrow-cast@57.1.0	X											
arrow-csv@57.1.0	X											
arrow-data@57.1.0	X											
arrow-ipc@57.1.0	X											
arrow-json@57.1.0	X											
arrow-ord@57.1.0	X											
arrow-row@57.1.0	X											
arrow-schema@57.1.0	X											
arrow-select@57.1.0	X											
arrow-string@57.1.0	X											
async-trait@0.1.89	X									X		
atoi@2.0.0										X		
atomic-waker@1.1.2	X									X		
autocfg@1.5.0	X									X		
backon@1.6.0	X											
base64@0.22.1	X									X		
bigdecimal@0.4.10	X									X		
bitflags@2.9.3	X									X		
bitvec@1.0.1										X		
block-buffer@0.10.4	X									X		
bumpalo@3.19.0	X									X		
byteorder@1.5.0										X		X
bytes@1.11.1										X		
cc@1.2.34	X									X		
cfg-if@1.0.3	X									X		
chrono@0.4.41	X									X		
clap@4.5.45	X									X		
clap_builder@4.5.44	X									X		
clap_derive@4.5.45	X									X		
clap_lex@0.7.5	X									X		
colorchoice@1.0.4	X									X		
const-oid@0.9.6	X									X		
const-random@0.1.18	X									X		
const-random-macro@0.1.16	X									X		
core-foundation-sys@0.8.7	X									X		
cpufeatures@0.2.17	X									X		
crc32c@0.6.8	X									X		
crossbeam-utils@0.8.21	X									X		
crunchy@0.2.4										X		
crypto-common@0.1.7	X									X		
csv@1.3.1										X		X
csv-core@0.1.12										X		X
dashmap@6.1.0										X		
delegate@0.13.5	X									X		
digest@0.10.7	X									X		
displaydoc@0.2.5	X									X		
either@1.15.0	X									X		
equivalent@1.0.2	X									X		
errno@0.3.13	X									X		
fastrand@2.3.0	X									X		
fixedbitset@0.5.7	X									X		
flatbuffers@25.2.10	X											
fluss-examples@0.1.0	X											
fluss-rs@0.1.0	X											
fnv@1.0.7	X									X		
form_urlencoded@1.2.2	X									X		
funty@2.0.0										X		
futures@0.3.31	X									X		
futures-channel@0.3.31	X									X		
futures-core@0.3.31	X									X		
futures-executor@0.3.31	X									X		
futures-io@0.3.31	X									X		
futures-macro@0.3.31	X									X		
futures-sink@0.3.31	X									X		
futures-task@0.3.31	X									X		
futures-util@0.3.31	X									X		
generic-array@0.14.7										X		
getrandom@0.2.16	X									X		
getrandom@0.3.3	X									X		
gloo-timers@0.3.0	X									X		
h2@0.4.12										X		
half@2.6.0	X									X		
hashbrown@0.14.5	X									X		
hashbrown@0.15.5	X									X		
hashbrown@0.16.1	X									X		
heck@0.5.0	X									X		
hex@0.4.3	X									X		
hmac@0.12.1	X									X		
home@0.5.11	X									X		
http@1.3.1	X									X		
http-body@1.0.1										X		
http-body-util@0.1.3										X		
httparse@1.10.1	X									X		
httpdate@1.0.3	X									X		
hyper@1.7.0										X		
hyper-rustls@0.27.7	X							X		X		
hyper-util@0.1.17										X		
iana-time-zone@0.1.63	X									X		
iana-time-zone-haiku@0.1.2	X									X		
icu_collections@2.0.0											X	
icu_locale_core@2.0.0											X	
icu_normalizer@2.0.0											X	
icu_normalizer_data@2.0.0											X	
icu_properties@2.0.1											X	
icu_properties_data@2.0.1											X	
icu_provider@2.0.0											X	
idna@1.1.0	X									X		
idna_adapter@1.2.1	X									X		
indexmap@2.11.0	X									X		
ipnet@2.11.0	X									X		
iri-string@0.7.9	X									X		
is_terminal_polyfill@1.70.1	X									X		
itertools@0.14.0	X									X		
itoa@1.0.15	X									X		
jiff@0.2.16										X		X
jiff-tzdb@0.1.5										X		X
jiff-tzdb-platform@0.1.3										X		X
jobserver@0.1.34	X									X		
js-sys@0.3.77	X									X		
lexical-core@1.0.5	X									X		
lexical-parse-float@1.0.5	X									X		
lexical-parse-integer@1.0.5	X									X		
lexical-util@1.0.6	X									X		
lexical-write-float@1.0.5	X									X		
lexical-write-integer@1.0.5	X									X		
libc@0.2.175	X									X		
libm@0.2.15										X		
linked-hash-map@0.5.6	X									X		
linux-raw-sys@0.9.4	X	X								X		
litemap@0.8.0											X	
lock_api@0.4.13	X									X		
log@0.4.27	X									X		
lz4_flex@0.12.0										X		
md-5@0.10.6	X									X		
memchr@2.7.5										X		X
mio@1.0.4										X		
multimap@0.10.1	X									X		
num-bigint@0.4.6	X									X		
num-complex@0.4.6	X									X		
num-integer@0.1.46	X									X		
num-traits@0.2.19	X									X		
once_cell@1.21.3	X									X		
once_cell_polyfill@1.70.1	X									X		
opendal@0.55.0	X											
ordered-float@5.1.0										X		
parking_lot@0.12.4	X									X		
parking_lot_core@0.9.11	X									X		
parse-display@0.10.0	X									X		
parse-display-derive@0.10.0	X									X		
percent-encoding@2.3.2	X									X		
petgraph@0.7.1	X									X		
pin-project-lite@0.2.16	X									X		
pin-utils@0.1.0	X									X		
pkg-config@0.3.32	X									X		
portable-atomic@1.11.1	X									X		
portable-atomic-util@0.2.4	X									X		
potential_utf@0.1.3											X	
ppv-lite86@0.2.21	X									X		
prettyplease@0.2.37	X									X		
proc-macro2@1.0.101	X									X		
prost@0.14.1	X											
prost-build@0.14.1	X											
prost-derive@0.14.1	X											
prost-types@0.14.1	X											
quick-xml@0.37.5										X		
quick-xml@0.38.4										X		
quote@1.0.40	X									X		
r-efi@5.3.0	X								X	X		
radium@0.7.0										X		
rand@0.8.5	X									X		
rand@0.9.2	X									X		
rand_chacha@0.3.1	X									X		
rand_chacha@0.9.0	X									X		
rand_core@0.6.4	X									X		
rand_core@0.9.3	X									X		
redox_syscall@0.5.17										X		
regex@1.11.2	X									X		
regex-automata@0.4.10	X									X		
regex-syntax@0.8.6	X									X		
reqsign@0.16.5	X											
reqwest@0.12.25	X									X		
ring@0.17.14	X							X				
rustc_version@0.4.1	X									X		
rustix@1.0.8	X	X								X		
rustls@0.23.32	X							X		X		
rustls-pki-types@1.12.0	X									X		
rustls-webpki@0.103.7								X				
rustversion@1.0.22	X									X		
ryu@1.0.20	X				X							
scopeguard@1.2.0	X									X		
semver@1.0.26	X									X		
serde@1.0.228	X									X		
serde_core@1.0.228	X									X		
serde_derive@1.0.228	X									X		
serde_json@1.0.143	X									X		
serde_urlencoded@0.7.1	X									X		
sha1@0.10.6	X									X		
sha2@0.10.9	X									X		
shlex@1.3.0	X									X		
signal-hook-registry@1.4.6	X									X		
simdutf8@0.1.5	X									X		
slab@0.4.11										X		
smallvec@1.15.1	X									X		
snafu@0.8.9	X									X		
snafu-derive@0.8.9	X									X		
socket2@0.6.0	X									X		
stable_deref_trait@1.2.1	X									X		
static_assertions@1.1.0	X									X		
strsim@0.11.1										X		
structmeta@0.3.0	X									X		
structmeta-derive@0.3.0	X									X		
strum@0.26.3										X		
strum_macros@0.26.4										X		
subtle@2.6.1				X								
syn@2.0.106	X									X		
sync_wrapper@1.0.2	X											
synstructure@0.13.2										X		
tap@1.0.1										X		
tempfile@3.23.0	X									X		
thiserror@1.0.69	X									X		
thiserror-impl@1.0.69	X									X		
tiny-keccak@2.0.2						X						
tinystr@0.8.1											X	
tokio@1.48.0										X		
tokio-macros@2.6.0										X		
tokio-rustls@0.26.4	X									X		
tokio-util@0.7.16										X		
tower@0.5.2										X		
tower-http@0.6.8										X		
tower-layer@0.3.3										X		
tower-service@0.3.3										X		
tracing@0.1.41										X		
tracing-attributes@0.1.30										X		
tracing-core@0.1.34										X		
try-lock@0.2.5										X		
twox-hash@2.1.2										X		
typenum@1.19.0	X									X		
unicode-ident@1.0.18	X									X	X	
untrusted@0.9.0								X				
url@2.5.7	X									X		
utf8_iter@1.0.4	X									X		
utf8parse@0.2.2	X									X		
uuid@1.18.0	X									X		
value-bag@1.12.0	X									X		
version_check@0.9.5	X									X		
want@0.3.1										X		
wasi@0.11.1+wasi-snapshot-preview1	X	X								X		
wasi@0.14.2+wasi-0.2.4	X	X								X		
wasm-bindgen@0.2.100	X									X		
wasm-bindgen-backend@0.2.100	X									X		
wasm-bindgen-futures@0.4.50	X									X		
wasm-bindgen-macro@0.2.100	X									X		
wasm-bindgen-macro-support@0.2.100	X									X		
wasm-bindgen-shared@0.2.100	X									X		
wasm-streams@0.4.2	X									X		
web-sys@0.3.77	X									X		
webpki-roots@1.0.3							X					
windows-core@0.61.2	X									X		
windows-implement@0.60.0	X									X		
windows-interface@0.59.1	X									X		
windows-link@0.1.3	X									X		
windows-link@0.2.1	X									X		
windows-result@0.3.4	X									X		
windows-strings@0.4.2	X									X		
windows-sys@0.52.0	X									X		
windows-sys@0.59.0	X									X		
windows-sys@0.60.2	X									X		
windows-sys@0.61.2	X									X		
windows-targets@0.52.6	X									X		
windows-targets@0.53.3	X									X		
windows_aarch64_gnullvm@0.52.6	X									X		
windows_aarch64_gnullvm@0.53.0	X									X		
windows_aarch64_msvc@0.52.6	X									X		
windows_aarch64_msvc@0.53.0	X									X		
windows_i686_gnu@0.52.6	X									X		
windows_i686_gnu@0.53.0	X									X		
windows_i686_gnullvm@0.52.6	X									X		
windows_i686_gnullvm@0.53.0	X									X		
windows_i686_msvc@0.52.6	X									X		
windows_i686_msvc@0.53.0	X									X		
windows_x86_64_gnu@0.52.6	X									X		
windows_x86_64_gnu@0.53.0	X									X		
windows_x86_64_gnullvm@0.52.6	X									X		
windows_x86_64_gnullvm@0.53.0	X									X		
windows_x86_64_msvc@0.52.6	X									X		
windows_x86_64_msvc@0.53.0	X									X		
wit-bindgen-rt@0.39.0	X	X								X		
writeable@0.6.1											X	
wyz@0.5.1										X		
yoke@0.8.0											X	
yoke-derive@0.8.0											X	
zerocopy@0.8.26	X		X							X		
zerofrom@0.1.6											X	
zerofrom-derive@0.1.6											X	
zeroize@1.8.2	X									X		
zerotrie@0.2.2											X	
zerovec@0.11.4											X	
zerovec-derive@0.11.1											X	
zstd@0.13.3										X		
zstd-safe@7.2.4	X									X		
zstd-sys@2.0.16+zstd.1.5.7	X									X		
